Season,Team,Pos,wRC+,AVG+,OBP+,SLG+,HR,PA,Name
2025,CLE,1B,100.164370355309,96.9909013587335,105.751105810927,91.0725169826686,9,314,Carlos Santana
2025,LAD,1B,143.331931318922,124.670088976455,119.446916530768,125.643589766689,10,310,Freddie Freeman
2025,HOU,2B,103.851236984337,105.607503976427,101.214896527745,103.935366697927,13,347,Jose Altuve
2025,SFG,,101.714939060978,98.8238512303932,100.024139395752,96.8330247038449,11,320,Wilmer Flores
2025,KCR,C,80.286592635471,97.1677872395171,89.0592796049471,98.5128712846087,9,338,Salvador Perez
2025,NYY,1B,116.685599431991,116.75300037225,110.634398573737,106.970268669322,8,331,Paul Goldschmidt
2025,STL,3B,93.961894724539,99.96162571542,96.1192930169156,98.8302921263733,10,333,Nolan Arenado
2025,PIT,LF,111.489832430392,108.853734480408,109.727877960179,102.763836070426,8,308,Andrew McCutchen
2025,ATL,LF,116.460413897492,98.8578112068692,115.797070359253,98.0831214791184,11,355,Marcell Ozuna
2025,MIL,LF,121.413370599333,105.990216217228,105.838281693111,114.40751691242,16,338,Christian Yelich
2025,SDP,3B,134.279775415476,118.650193590022,111.064477235183,119.335268650764,13,356,Manny Machado
2025,PHI,1B,126.217424237908,103.650132149481,115.996560385671,110.628637078282,9,257,Bryce Harper
2025,STL,1B,115.77955329205,100.623623016684,106.710501602679,105.288077165788,11,348,Willson Contreras
2025,PHI,RF,112.705487683884,114.313482917027,101.871700886142,113.019719601188,10,345,Nick Castellanos
2025,PHI,C,85.2459274581628,98.9747272840872,97.311180034353,88.8718199510565,5,287,J.T. Realmuto
2025,PHI,LF,87.0835022078507,82.9882220216941,94.6908946463354,92.5062117165444,9,285,Max Kepler
2025,SDP,SS,99.8120862755694,104.427265176754,104.284393586397,92.9208518485216,5,331,Xander Bogaerts
2025,TEX,2B,92.2269456460081,97.6573190316338,101.259589043824,89.4167078981772,8,350,Marcus Semien
2025,ARI,,140.454896031368,102.965972838633,101.523924406242,141.297962084949,26,340,Eugenio Suarez
2025,BOS,SS,79.3300434596107,97.1677872395171,89.3243369790222,95.335036605181,12,337,Trevor Story
2025,TOR,RF,139.940771405154,110.998878003969,117.246370821283,122.518405319175,13,311,George Springer
2025,NYM,SS,118.016319921996,104.640510247675,102.653059024383,112.027450172006,16,376,Francisco Lindor
2025,NYM,LF,117.061520439412,103.306919819545,99.2443621880654,113.578477003736,15,332,Brandon Nimmo
2025,DET,,120.687140262648,116.850701629166,103.076902917,115.911183198627,9,254,Javier Baez
2025,LAD,,113.912183910974,106.5467518174,93.262600771562,120.548553764507,14,287,Teoscar Hernandez
2025,WSN,1B,79.6643853155129,79.4148468566854,89.0216230761605,89.1317461494736,11,282,Josh Bell
2025,SEA,2B,112.50368703406,102.225603955181,97.5599142356143,108.875526112148,11,253,Jorge Polanco
2025,LAD,3B,135.409345512589,102.092041216598,118.302057961014,115.327947155686,13,313,Max Muncy
2025,HOU,1B,82.2012175581846,90.3796686637162,90.4175552074005,91.2830404268048,10,339,Christian Walker
2025,CLE,,138.939899101863,125.112642507388,117.134872929875,124.253857356992,13,338,Jose Ramirez
2025,LAD,SS,98.935777772996,100.96233422655,102.46570494641,95.2227162476026,9,343,Mookie Betts
2025,ARI,2B,168.314643214972,120.05267842369,125.520488653493,146.04920943113,17,255,Ketel Marte
2025,MIN,CF,147.225989507844,113.73115781254,109.344860352204,140.451120593742,19,292,Byron Buxton
2025,MIN,SS,90.5023023779035,104.955605633877,94.5623496084632,97.0063423689255,7,287,Carlos Correa
2025,LAA,,81.197983278915,85.9196333092718,91.7354416438608,89.5677323342973,8,269,Jorge Soler
2025,ATL,1B,133.13633845666,106.148813744068,114.805324819569,118.385849308543,15,369,Matt Olson
2025,SFG,RF,104.957722220213,98.9747272840872,106.337955223349,95.5610966596466,7,301,Mike Yastrzemski
2025,COL,3B,87.7637414743209,88.6326415811222,100.831023066764,98.2354801813973,12,333,Ryan McMahon
2025,PIT,2B,82.6896302764139,103.52560237641,100.466003523537,84.9272935237313,3,254,Adam Frazier
2025,SEA,SS,127.380822131097,114.61279489538,122.663929063147,93.7091679219866,6,358,J.P. Crawford
2025,NYY,RF,222.036909571212,146.958259060429,148.66272653029,181.842191282735,30,378,Aaron Judge
2025,SFG,SS,83.2905806826583,85.4368499779827,93.2686963602922,87.1895781697504,10,361,Willy Adames
